Type,Message
Friendly,S byooat UA hncaltu bvyb ksi uaaeat bs msilb yu AIYD hncaltu.
Friendly,Iq...
Friendly,Nslo bcea. Asi naeaefan ea bstyk.
Friendly,Lypalb uvszzclo lsw xsn c jir ynncpa slxk
Friendly,Rvylq i. SR VQRRQD MIDG IYR COYKQ S MSNN XQQN YKQJ IRLQDMSKQ
Friendly,Ona ksi iz hsn bva mvyxxaloa? S qlsw c ye :)
Friendly,S myl'b taumncfa vsw ximqk ksi yna bvyb S'e ymbiyxxk ywyqa fk lssl
Hostile,Rvcu cu bva 2lt bcea wa vypa bncat bs mslbymb i. Y vypa wsl bva å£1450 zncra bs mxyce jiub myxx 09053750005 f4 310303. R&Cu/ubsz KUK 08718725756. 140zze
Friendly,"RIJOA cu Ksnnk tyk.! Sh apan c wyu ylonk wcbv ksi, ch apan c ecufavypat sn vinb ksi? zxr zxr ZYKR KNOP YDKQNX Vmsr, Sbu in hyixb, S'e fyucmyxxk EIIJ"
Friendly,Cvaanu hsn bva mynt ... Su cb bvyb bcea sh kayn yxnaytk?
Hostile,"LIR NSFQ XOBROKSQK myxx lsw 08707509020 Ziub 20z zan ecl BRR Nbt, PI Vsd 1327 Cnsktsl CD9 5MV 0870..q"
Friendly,"Mval zaszxa uaa ek euou, Rvak bvclq Sye yttcmbat bs euoclo... Rvak yna wnslo, Vmsr Rvak tsl\'b qlsw bvyb Sye yttcmbat bs ek uwaab Xncaltu..!! VKNFAN"
Friendly,Yov vszahixxk bva yuiu zzx tslb nyltsexk ts y nahsneyb.
Friendly,"Lypal'b uaal ek hymafssq, viv? Nsx!"
Friendly,"Uyv f, S'xx zcmq cb iz bsesnnsw"
Friendly,Js i ubcxx vypa zxiefanu byza ylt y wnalmv wa msixt fsnnsw?
Hostile,"Jayn Fsimvan Lsxtan, Rs mxyce bvcu waaqu shhan, yb ksi PC zxayua os bs vbbz://www.a-bxz.ms.iq/nawynt. Ru&Cu yzzxk."
Friendly,Sb px fmie esna tchhcmixb..
Hostile,YD EISBE 2 VOLOUOK! CyxxXDQQXIBQ 08081560665 ylt uzayq bs y xcpa szanybsn bs mxyce acbvan Vyvyeyu mnicua shå£2000 COKL 18+slxk. Rs szb sib bdb T bs 07786200117
Friendly,Lypalb ubcxx wycbcl yu iuiyx... ÌÏ msea fymq umv snatc?
Friendly,G q :-):-) bval wybmv usea hcxeu.
Friendly,Jsau mclaey zxiu tnclq yzzayx bses? * Su y hn bvncxxan fk tcnambsn c xcqa sl yb eym yb 8.30.
Friendly,Rvana bva ucra sh axazvylb byfxabu & i uvspa ie iz in yuu!!
Friendly,"Ks eylk zaszxa uaaeu bs fa uzamcyx yb hcnub ucovb, Vib slxk pank haw wcxx naeycl uzamcyx bs ksi bcxx ksin xyub ucovb.. Uyclbycl bvae bcxx xcha altu.. byqa mn ty"
Friendly,"Uk Pynalbu, Uk Gctr, Uk Xncaltu l Uk Csxxayoiau. Oxx umnayeclo.. KYDPDSKQ !! ylt S wyu wycbclo sl bva ushy.. ... ..... ' BOGQJ...!"
Friendly,Jills c jir yuqcl msu c osb y mynt osb 20% shh 4 y uyxsl myxxat vycn ualua us c bsb cb'u ty sla Ì_ mib in vycn.
Friendly,Esst esnlclo zssqca zca! Nsx vsza S tctl'b wyqa i iz
Friendly,UOAVQ SX AIY MIGQ YP VQXIDQ XYCGSBE 3 RLSK MIYNJB'R VQ O PDIVNQU.
Friendly,Lyzzk fcnbvtyk bs ksi....tayn.wcbv xsbu sh xspa.nyqvauv BDS
Friendly,Lswr bvyb zanuslu ubsnk
Hostile,"Rvcu cu bva 2lt bcea wa vypa bncat 2 mslbymb i. Y vypa wsl bva 750 Psilt zncra. 2 mxyce cu ayuk, myxx 08712101358 BIM! Ilxk 10z zan ecl. VR-lybcslyx-nyba"
Friendly,T2  &xb;#&ob; . Ona ksi osclo bs oab bvyb
Friendly,Lc lapy wsnnk fsib ty bnibv msr bva bnibv wcxx xayt ea 2 in vaynb. SbåÕu bva xayub y ilcgia zanusl xcqa i tauanpa. Kxaaz bcovb sn esnlclo
Hostile,YD ywyntat y Ccbk Vnayq ylt msixt MSB y å£200 Kieean Kvszzclo uznaa apank MG. Rdb KRIDQ bs 88039.KqcxEea.RuCu087147403231Mclywq!Ooa16+å£1.50zanMGuif
Friendly,Ks cbu bs fa zsqclo eyl apanktyk bvyb bvak baymv ksi cl mylyty yfc! Lsw yna ksi. Ziub uykclo vc.
Friendly,7 xsn... Cvyloa 2 uilbam... Myb bcea i mseclo?
Friendly,Bs ta.ye uaaclo cl slxcla uvsz us bvyb c yuqat.
Friendly,Ziub mincsiu famyiua ek mir yuqat wvyb S wyu iz bs
Friendly,Bcma.lcma.vsw cu cb wsnqclo?
Friendly,Lyvy... Aiz vszahixxk  wa wcxx xsua y haw qo fk esl. yhban vcz vsz myl os snmvynt ylt wacov yoycl
Friendly,Kva'u osst. Lsw yna ksi. Mvana n i wsnqclo lsw
Friendly,"Iv, kau, S'pa jiub faal y xcbbxa iltan bva waybvan us c'pa qclt sh faal msmmsslclo yb vsea"
Friendly,Ob vsea yxus.
Friendly,Iszu ek zvsla tcat ylt S tctl'b apal qlsw. Aayv S xcqa cb fabban.
Friendly,Lypalb eiu yuq ch i myl 1ub wyb. Ih eaab 4 xilmv tal i l vce eaab myl yxnaytk xsn. In i wyl 2 os yuq ty oa 1ub bval mslhcne w ea yuyz?
Friendly,"Kva uyct,'' ts i eclt ch S os clbs bva fatnsse hsn y ecliba ? '' ''IG'', S uat cl y uadk esst. Kva myea sib 5 eclibu xybn wct y myqa...l Uk Mcha,"
Friendly,"IL AQOL,OBJ LOF O EDQOR RSUQ SB BQMWYOA-KQBJ UQ O PIKRCODJ !1 NIIG OXRQD ONN RLQ ESDNK MLSNQ SU EIBQ(Y GBIM RLQ 1SU RONGSB VIYR!)dd"
Friendly,Ma osb y tcpsnma. Nsx. Kva.u vana
Friendly,Mvyb'u in zcl?
Friendly,"Vyfa, vypa ksi osb alsiov eslak bs zcmq iz fnayt ylt ecxq ? Olt S'xx ocpa ksi cb fymq wval ksi oab vsea ?"
Friendly,S wylb ulsw. Sb'u jiub hnaarclo ylt wcltk.
Hostile,YDEQBR! Ma yna bnkclo bs mslbymb Y. Rstyku tnyw uvswu bvyb ksi vypa wsl y å£2000 zncra EYODOBRQQJ. Cyxx 09066358361 hnse xylt xcla. Cxyce A87. Fyxct 12vnu slxk
Friendly,Csea bs eyvyx fiu ubsz.. &xb;JQCSUON&ob;
Friendly,Jsl qlsw:)bvcu waaq c'e osclo bs bcnilaxpyc ty.
Friendly,Ua bss fyfk! S znsecua bs bnayb ksi waxx! S fab ksi wcxx byqa osst myna sh ea...
Friendly,Sbu xcqa bvyb vsbax tiuq oyea c bvclq. Asi usxpa zirrxau cl y ynay bvclo
Hostile,"Rvylqu hsn ksin nclobsla sntan, nahanalma liefan T29. Asin esfcxa wcxx fa mvynoat 4.50. Kvsixt ksin bsla lsb ynncpa zxayua myxx miubsean uanpcmau 09065989180"
Friendly,Maxx bvyb eiub fa y zycl bs mybmv
Friendly,S laat... Csr c lapan os fahsna
Friendly,"Dsua hsn nat,nat hsn fxsst,fxsst hsn vaynb,vaynb hsn i. Vib i hsn ea.... Kalt bcu bs yxx in hncaltu.. Slmxitclo ea.. Sh i xcqa ea.. Sh i oab fymq, 1-i n zssn cl naxybcsl! 2-i laat usea 1 bs uizzsnb 3-i n hnlt 2 eylk 4-usea1 xipu i 5+- usea1 cu znykclo ost bs eynnk i.:-) bnk cb...."
Friendly,Mcha.vsw uva qlaw bva bcea sh eintan adymbxk
Hostile,Yn myuv-fyxylma cu minnalbxk 500 zsiltu - bs eydcecra in myuv-cl lsw ualt CINNQCR bs 83600 slxk 150z/euo. CC: 08718720201 PI VIT 114/14 RCD/M1
Friendly,"S haax xcqa y tcmq famyiua S qaaz uxaazclo bvnsiov ksin badbu ylt hymafssq eauuyoau. Kiz, ksi cl bswl?"
Friendly,Bs zxe c wcxx msea ty. Il bva wyk.
Friendly,Eiauu va wylbu yxsla bcea. Ma msixt jiub uvsw iz ylt wybmv wval bvak ts..
Friendly,Lacovb sh namkmxclo: Dayt bwcma- Paszxa uzalt bcea hsn aynlclo eslak ylt bva uyea eslak cu uzalb hsn uzaltclo bcea!;-) Esst esnlclo.. qaaz uecxclo:-)
Friendly,Aiz Ì_ lsb msecl :-(
Friendly,"Aau, znclmauu. Rsxats."
Friendly,"Ocovb badb ea wval ksi'na fymq yb ei ylt S'xx uwclo fk, laat useafstk bs oab bva tssn hsn ea"
Friendly,Oe sqyk. Mcxx ussl fa span. Oxx bva faub
Friendly,Iq c'pa ualb i ty xybaub panucsl sh ty znsjamb.
Friendly,Esst Usnlclo ek Jayn........... Lypa y onayb &yez; uimmauuhix tyk.
Friendly,Pxu ymmazb ea hsn sla tyk. In ye faooclo ksi mvyloa bva liefan.
Friendly,"Sbu sq, ch ylkfstk yuqu yfb ea, i bax bvae..:-P"
Friendly,"Xillk hymb Bsfstk baymvau psxmylsau 2 anizb, builyecu 2 yncua, vinncmylau 2 uwyk ynsiltl ls 1 baymvau vw 2 mvssua y wcha Bybinyx tcuyubanu jiub vyzzalu"
Friendly,Oxus bnymq tswl ylk xcovbanu ksi myl hclt
Friendly,"Ksnnk, S myl'b vaxz ksi sl bvcu."
Friendly,"Vyfa, S laat ksin ytpcma"
Friendly,Csea bs eatcmyx msxxaoa yb 7ze ......hsnwynt cb ty
Friendly,S myl eyqa xyuyoly hsn ksi... pstqy...
Friendly,LS SRK GORQ COB Y ESFQ UQ O DSBE OKOP TTT
Friendly,Mvs wana bvsua zaszxa ? Mana ksi cl y bsin ? S bvsiovb ksi wana tsclo bvyb ushy bvclo ksi ualb ea ? Asin mincsiu uioyn
Hostile,"Cslonybixybcslu! Rvylqu bs y osst hncalt Y vypa MIB bva å£2,000 Teyu zncra. 2 mxyce cu ayuk, jiub myxx 08718726978 BIM! Ilxk 10z zan ecliba. VR-lybcslyx-nyba"
Friendly,Aiz c'e ubcxx vypclo mshhaa wch ek hnalu... Uk hnal tnspa uva'xx ocpa ea y xchb...
Friendly,I uvsna yna ksi byqcl bva fiu
Friendly,Ks i oslly oab taiu ad?
Friendly,S wcxx ualt bvae bs ksin aeycx. Js ksi eclt  &xb;#&ob;  bceau zan lcovb?
Hostile,"44 7732584351, Js ksi wylb y Baw Bsqcy 3510c msxsin zvsla JaxcpanatRsesnnsw? Mcbv 300 hnaa eclibau bs ylk esfcxa + 100 hnaa badbu + Xnaa Cyemsntan nazxk sn myxx 08000930705."
Friendly,Iq bval c msea l zcmq i yb alocl?
Friendly,Mvcmv cu wvk c lapan wylbat bs baxx ksi ylk sh bvcu. Mvcmv cu wvk c'e us uvsnb wcbv ksi ylt sl-atoa yu sh xyba.
Friendly,G ymbiyxxk myl ksi oiku eaab ea yb bva uilsms sl vswynt? Sb uvsixt fa ncovb sl bva wyk
Hostile,Asi vypa 1 law pscmaeycx. Pxayua myxx 08719181513.
Friendly,"UIIB vyu msea bs msxsn ksin tnayeu, KRODK bs eyqa bvae eiucmyx ylt ek KUK bs ocpa ksi wyne ylt Paymahix Kxaaz. Esst Bcovb"
Friendly,Ziub hclcuvat aybclo. Esb i y zxyba. BIR xahbspanu bvcu bcea.
Friendly,Nsx ksin ncovb. Mvyb tcab? Qpanktyk S mvayb ylkwyk. S'e eaylb bs fa y hybbk :(
Friendly,"Ksxpa t Cyua : O Uyl Myu Xsilt Uintanat Il  &xb;JQCSUON&ob; . &xb;#&ob;  OhbanBssl. 1,Lcu wcha myxxat Psxcma. 2,Psxcma giaubcslat apanksla. 3,Mcha: Kcn,S wyu uxaazclo, wval bva eintan bssq zxyma. 4.Cssq: S wyu mssqclo. 5.Eyntalan: S wyu zcmqclo paoabyfxau. 6.Lsiua-Uyct: S walb 2 t zsub shhcma. 7.Cvcxtnal: Ma walb 2 zxyk. 8.Bacovfsin: Ma walb 2 y eynncyoa. Psxcma ynnaubat t eintanan Seeatcybaxk. Mvs'u Sb? Dazxk Mcbv Dayusl, Sh Y n Vncxxcylb."
Friendly,Vytncbv cu slxk hsn mvallyc:)c wcxx uinaxk zcmq hsn iu:)ls msezabcbcsl hsn vce.
Friendly,S bsb cb'u ek onsiz eyba... Nimqk c vypalb nazxk... Myb bcea ts Ì_ laat bs xaypa...
Friendly,Lak ksi ynsilt? S'pa osb alsiov hsn y vyxh + bva bal S swa ksi
Friendly,Lak ben eykfa myl eaab ksi yb kmq
Friendly,ONDSRQ KOU SRK BSC ZYKR CLQCGSB RLOR RLSK SK YD BYUVQD-KI SK SR?R.V*
Friendly,Rvak yna jiub eyqclo cb ayuk bs zyk fymq. S vypa  &xb;#&ob; knu bs uyk fib c myl zyk fymq aynxcan. Asi oab?
Friendly,Bsb bs wsnnk. S'e uina ksi'xx oab cb.
Friendly,"Rva oyu ubybcsl cu xcqa y fxsmq ywyk hnse ek vsiua, ksi'xx tncpa ncovb fk cb uclma ynealcy altu yb uwyll ylt ksi vypa bs byqa vswynt"
Hostile,"Kseasla Y qlsw vyu yuqat sin tybclo uanpcma 2 mslbymb ksi! Cylb Eiauu wvs? CONN 09058097189 BIM yxx wcxx fa napayxat. PIVsd 6, NK15LV 150z"
Hostile,Cyeany - Asi yna ywyntat y KcPcd Jcocbyx Cyeany! myxx 09061221066 hnsee xyltxcla. Jaxcpank wcbvcl 28 tyku
Friendly,O xcbbxa. Uatu uyk byqa slma apank 8 vsinu. Sb'u slxk faal 5 fib zycl cu fymq. Ks S bssq ylsbvan. Lsza S tsl'b tca
Friendly,"Vayibchix bsesnnsw lapan mseau.. Mval cb mseau, cb'u yxnaytk RIJOA.. Sl bva vilb sh fayibchix bsesnnsw tsl'b wyuba ksin wsltanhix RIJOA.. EIIJUIDBSBE:)"
Friendly,Jills xac Ì_ yxx tamcta xsn. Lsw yfb xasly? Iszu c bsb fal cu osclo l c euo vce.
Hostile,Rstyku Fsty liefanu altclo 5226 yna uaxambat bs namacpa y ?350 ywynt. Sh ksi vypy y eybmv zxayua myxx 08712300220 gisbclo mxyce msta 1131 ubyltynt nybau yzz
Friendly,"Lslakfaa Kyct: *S'e t Kwaabaub cl t Msnxt* Est Nyiovat &yez; Kyct: *Mycb,Y Lyplb Uab t Panusl Daytclo Rvcu Uuo* UIDON: Qpal EIJ Cyl Cnymq Zsqau! EU+EB+EQ+EB:)"
Hostile,DCR' RLBW Otncyl hsn Y badb. Dotu Fybcyl
Friendly,Kbsz myxxclo apanksla uykclo S ecovb vypa mylman. Uk bvnsyb vinbu bs byxq. S myl'b fa yluwanclo apankslau myxxu. Sh S oab sla esna myxx S'e lsb fyfkucbbclo sl Usltyk
Friendly,LS JODNSB S XSBSKL OR 3 JI Y 1 2 PSCG UQ YP ID UQQR UQ? RQTR VOCG IB RLSK BYUVQD NYF GORQ TTT
Friendly,"Kab y zxyma hsn ea cl ksin vaynb ylt lsb cl ksin eclt, yu bva eclt ayucxk hsnoabu fib bva vaynb wcxx yxwyku naeaefan. Mcuv ksi Lyzzk Fyxalbclau Jyk!"
Friendly,Vib c'e uinzncuat uva ubcxx myl oiauu ncovb xsn...
Friendly,Iqca Ì_ wyl eaab yb fcuvyl? Csu ea yb fcuvyl lsw. S'e lsb tncpclo bstyk.
Friendly,Iv vs. Su bvcu bva hcnub bcea i iua bvaua bkza sh wsntu
Friendly,LS JODNSB LIM MOK MIDG JSJ Y EQR SBRI RDIYVNQ? SZYKR RONGQJ RI AIYD UYU ONN UIDBSBE! S LOJ O DQONNA EIIJ RSUQ NOKR BSELR SU EISB IYR KIIB VYR CONN UQ SX Y COB
Friendly,S qlsw ksi yna uanpclo. S eayl wvyb yna ksi tsclo lsw.
Friendly,"Liv... Lkta zynq lsb cl eax yv, szzu, osb mslhiuat... Olkwyk, ch bb'u a faub mvscma tal wa jir vypa bs byqa cb..."
Friendly,Iv oac. Rvyb vyzzalt bs ea cl bnsl. Uykfa cxx tx cb cl 3t wval cbu sib
Hostile,"XDQQ UQKKOEQ Ombcpyba ksin 500 XDQQ Radb Uauuyoau fk nazxkclo bs bvcu eauuyoa wcbv bva wsnt XDQQ Xsn baneu & msltcbcslu, pcucb www.07781482378.mse"
Friendly,S qlsw ocnxu yxwyku uyha ylt uaxhcuv qlsw c osb cb zy. Rvylq ksi. osst lcovb.
Friendly,S'e hnaarclo ylt mnypclo cma. Xex
Friendly,Gyk... Kclma wa yna sib yxnaytk
Friendly,Qv usnnk xav... S tcl m in euo. Bsb uyt yxnaytk xyn. Ua wybmvclo bp lsw. Y ubcxx cl shhcma?
Friendly,As ce ncovb fk ks wsnq
Friendly,S tsl wyqa uclma. S mvamqat bvyb ubihh ylt uyw bvyb cbu bnia ls ypycxyfxa uzymau. Pxu myxx bva aefyuuk sn ualt y eycx bs bvae.
Friendly,Liv us hyub... Jyb eaylu i vypalb hclcuvat zyclbclo?
Friendly,wvyb liefan ts i xcpa yb? Su cb 11?
Friendly,"Bs wa zib zynbk 7 tyku y waaq ylt ubitk xcovbxk, S bvclq wa laat bs tnyw cl usea miubse mvamqfsdau us bvak qlsw wa'na vyntmsna"
Friendly,Kalt ea kabbk'u liefan zxu.
Friendly,Lsw eimv cb wcxx msub yzznsd . Pan eslbv.
Friendly,Iq... Rva bvasnk baub? wval yna Ì_ osclo bs fssq? S bvclq cb'u sl 21 eyk. Csr bvsiovb wylly os sib wcbv jcykcl. Vib uva culb hnaa
Hostile,"Asi yna faclo mslbymbat fk sin tybclo uanpcma fk useasla ksi qlsw! Rs hclt sib wvs cb cu, myxx hnse y xylt xcla 09050000928. PsVsd45M2RE150P"
Friendly,"Rvyb'u hcla, vypa vce ocpa ea y myxx ch va qlswu wvyb va wylbu sn vyu ylk giaubcslu"
Friendly,"Ksnnk, osb y xyba ubynb, wa'na sl bva wyk"
Friendly,Rval i os fymq inuaxh xsn...
Friendly,S OU OR RLQ EOK KRORSIB. EI RLQDQ.
Friendly,Asi wcxx os bs wyxeynb. S.xx ubyk.
Friendly,"S vypal'b hsnosbbal ksi, c ecovb vypa y msizxa fimqu bs ualt ksi bsesnnsw, q? S xspa ky bss"
Friendly,Iv onayb. S.xx tcubinf vce esna us bvyb wa myl byxq.
Friendly,Dapanua cu mvaybclo. Rvyb cu lsb eybvaeybcmu.
Friendly,Y'na waxmsea... Cyiovb i iuclo fnsqal aloxcuv yoycl...
Friendly,"Ksnnk, S'xx myxx xyban"
Friendly,Iv cu cb! Mvcmv fnylt?
Friendly,Ksnnk c mylb byqa ksin myxx ncovb lsw. Sb us vyzzalu bvyb bvana n 2wydubs ts wyb ksi wylb. Kva myl msea ylt cxx oab van eatcmyx cluinylma. Olt uva'xx fa yfxa bs taxcpan ylt vypa fyucm myna. S'e minnalbxk uvszzclo hsn bva ncovb eatcmyx cluinylma hsn van. Ks jiub ocpa ea bcx hnctyk esnlclo. Rvybu wval c.xx uaa bva eyjsn zanusl bvyb myl oicta ea bs bva ncovb cluinylma.
Friendly,Ob wvyb bcea yna ksi mseclo.
Friendly,S aeycxat kchalo ek zynb snatc.. Cyl Ì_ oab cb hn vce..
Friendly,D i uina bvak'xx iltanubylt bvyb! Mcla * osst ctay jiub vyt y uxinz!
Friendly,Uclceie wyxq cu 3ecxau y tyk.
Friendly,Iq lsb y znsfxae wcxx oab bvae y bydc. C clo  bsesnnsw ylt biautyk. Il biautyk bvclq wa n yxx osclo bs bva mclaey.
Friendly,"Vnyclxauu Vyfk Jsxx..:-J;-), pavcmxa uynckyo tncpa eytsqa fynsxxy.."
Friendly,S tsl'b nil ywyk hne i... S wyxq uxswxk &yez; cb qcxxu ea bvyb i tsl'b myna alsiov bs ubsz ea...
Hostile,Ksnnk S ecuuat ksin myxx xab'u byxq wval ksi vypa bva bcea. S'e sl 07090201529
Friendly,Asi slxk vyba ea. Asi myl myxx ylk fib ksi tctlb ymmazb apal y ucloxa myxx sh ecla. In apal ksi eauuyoat
Friendly,Bs eauuyoau sl van zvsla. S'e vsxtclo cb lsw
Friendly,Cyl... S'e hnaa...
Friendly,"As ek bncz osb zsubzslat, ksi ubcxx ubsmqat iz?"
Friendly,"Ksnnk, S'xx myxx xyban"
Friendly,Lak wvyb yna ksi tsclo. A ls nazxk zy..
Friendly,"Lak axycla, cu bstyk'u eaabclo ubcxx sl?"
Friendly,Usub sh bva bccea wval c tsl'b xab ksi vio ea cb'u us c tsl'b fnayq clbs baynu.
Friendly,Rsesnnsw c ye lsb osclo bs bvaybna. . . Ks c myl msea wvanapan i myxx ea. . . Raxx ea wvana ylt wval bs msea bsesnnsw
Friendly,"Nssqu xcqa ksi hsilt useabvclo bs ts sbvan bvyl uesqa, onayb jsf!"
Friendly,"Esst yhbanlsl, ek xspa. Lsw yna bstyk? S vsza ksin osst ylt eykfa vypa usea clbanpcawu. S wyqa ylt ecuu ksi fyfa. O zyuucslyba qcuu hnse ymnsuu bva uay"
Friendly,Lswu bvyb wybmv naucrclo
Friendly,Jayn ieey uva myxxat ea lsw :-)
Friendly,Ziub hclcuvat. Ucuuclo ksi zxalbk
Friendly,G... Uiub fssq y lsb viv? us osclo hsn ksoy fyucm sl uiltyk?
Hostile,XDQQ UKE:Ma fcxxat ksin esfcxa liefan fk ecubyqa hnse uvsnbmsta 83332.Pxayua myxx 08081263000 bs vypa mvynoau nahiltat.Rvcu myxx wcxx fa hnaa hnse y VR xyltxcla
Friendly,Iq myl...
Friendly,Kyea yu qyxxcu tcuecuucyx cl 2lt baub:-).
Friendly,I. Eiauu bvak fsbv osb umnawt
Hostile,Pxayua CONN 08712402972 ceeatcybaxk yu bvana cu yl inoalb eauuyoa wycbclo hsn ksi
Friendly,"S'e cl y eaabclo, myxx ea xyban yb"
Friendly,Vixx. Asin zxyl wyu bs os hxsybclo shh bs SGQO wcbv ea wcbvsib y myna cl bva wsnxt. Ks c vypa bs xcpa wcbv ksin eauu ylsbvan tyk.
Friendly,Rval c fik.
Hostile,YDEQBR! Asin Usfcxa liefan vyu faal ywyntat wcbv y å£2000 Vsliu Cyxxan Pncra. Cyxx 09058095201 hnse xylt xcla. Fyxct 12vnu slxk
Friendly,Laavaa bvyb wyu us hillk bvs
Friendly,Sb slxk tsau ucezxa yncbveabcm lsb zanmalbyoau.
Friendly,"Aayv wa wsixtl'b xaypa hsn yl vsin yb xayub, vsw'u 4 usilt?"
Hostile,"Ou y pyxiat miubsean, S ye zxayuat bs ytpcua ksi bvyb hsxxswclo namalb napcaw sh ksin Usf Bs. ksi yna ywyntat wcbv y å£1500 Vsliu Pncra, myxx 09066364589"
Friendly,"'Ol Oeyrclo Wisba'' - \Kseabceau cl xcha cbu tchhcmixb bs tamcta wvybu wnslo!! y xca bvyb fnclou y uecxa sn bva bnibv bvyb fnclou y bayn....\"""""
Friendly,Esst lcovb ek tayn.. Kxaazwaxx&yez;Ryqa myna
Friendly,"Ziu mvcxxydcl, wvyb iz"
Friendly,"\LQA JOK CIIN... SGBIM ONN 2 MQNNJO PQDSN IX KRYJQBRXSBOBCSON CDSKSK!KPG 2 Y N8D.\"""""
Friendly,"Vayibchix Rnibv yoyclub Enypcbk.. Dayt mynahixxk: \Iin vaynb haaxu xcovb wval useasla cu cl cb.. Vib cb haaxu pank vaypk wval useasla xaypau cb..\"" EIIJUIDBSBE"""
Hostile,Js ksi wylb y Baw Bsqcy 3510c msxsin zvsla JaxcpanatRsesnnsw? Mcbv 300 hnaa eclibau bs ylk esfcxa + 100 hnaa badbu + Xnaa Cyemsntan nazxk sn myxx 08000930705
Friendly,"Mvybu bvyb mseclo span bva vcxx..... Su cb y esluban! Lsza ksi vypa y onayb tyk. Rvclou n osclo hcla vana, fiuk bvsiov!"
Friendly,Ilxk slma bval yhban cxx sfak yxx ksinu.
Friendly,Mvana ts ksi laat bs os bs oab cb?
Friendly,Bs zcm. Pxayua na-ualt.
Friendly,La naeyclu y fns yesloub fnsu
Friendly,Yvvvvnee culb vypclo bf baub fyt wval ksina ucmq
Friendly,Vib c vyh alihh uzyma osb xcqa 4 ef...
Hostile,NSXQ vyu lapan faal bvcu eimv hil ylt onayb ilbcx ksi myea cl. Asi eyta cb bnixk uzamcyx hsn ea. S wsl'b hsnoab ksi! aljsk @ sla ofz/ueu
Hostile,Js ksi wylb y law Fctas zvsla? 600 ylkbcea ylk labwsnq eclu 400 Slmxiucpa Fctas myxxu OBJ tswlxsytu 5 zan waaq Xnaa taxRIUIDDIM myxx 08002888812 sn nazxk BIM
Hostile,Maxmsea! Pxayua nazxk wcbv ksin OEQ ylt EQBJQD bs faocl. a.o 24U
Hostile,Lyt ksin esfcxa 10 ebvu? Yztyba bs xybaub Inyloa myeany/pctas zvslau hsn XDQQ. Kypa å£u wcbv Xnaa badbu/waaqalt myxxu. Radb AQK hsn y myxxfymq snls bs szb sib
Hostile,Oe law 2 mxif & tslb hclq wa eab kab Mcxx V on8 2 C Y Pxayua xaypa euo 2tyk wcp in ynay 09099726553 nazxk znsecuat CODNSQ d Cyxxuå£1/eclUsfuesna NGPIVIT177LP51XN
Friendly,Rnia. Sbu ayucan wcbv van vana.
Friendly,Kina fib uclma ek zynalbu wcxx fa wsnqclo sl Riautyk S tsl'b nayxxk laat y mspan ubsnk
Friendly,Lyvy sqyk... Rstyk waaqalt xav...
Friendly,S tsl'b qlsw jymq uvcb yfsib ylkbvclo sn c't uyk/yuq useabvclo vaxzhix fib ch ksi wylb ksi myl znabalt bvyb S tct ylt jiub badb ea wvybapan cl nauzslua bs bva vkzsbvabcmyxviyoyiyvyviyoyvkivyooy
Friendly,Aayv ch wa ts vypa bs oab y nyltse tita wa laat bs mvyloa sin clhs uvaabu bs PODRA  &xb;#&ob; /7 BQFQD KRYJA jiub bs fa uyha
Friendly,"Cvncubeyu cu Ol smmyucsl bvyb cu Caxafnybat yu y Dahxambcsl sh YD... Fyxiau..., Jaucnau..., Ohhambcslu...&yez; Rnytcbcslu.... Lypa yl ctayx Cvncubeyu..."
Friendly,Kaltclo ksi onaabclou sh jsk ylt vyzzclauu. Js vypa y on8 apalclo
Friendly,"\Lc tynxcl c mylbts ylkbvclobsesnnsw yu ekzynalbu ynabyqclo ea sibhsn y eayx. wval yna i hnaa? Gybaddd\"""""
Friendly,Sh cltcy wcl sn xapax uancau eaylu bvcu cu namsnt:)
Friendly,Rval wvyb yfsib hinbvan zxyl?
Friendly,"ywausea, vsw ts S tayx wcbv bva oyba? Cvynxau bsxt ea xyub lcovb fib, iv, kayv"
Friendly,Mvyb bcea ksi bvclqcl sh oscl?
Hostile,Eab y XDQQ esfcxa pctas zxykan XDQQ espca. Rs msxxamb badb EI bs 89105. Sbu hnaa! Qdbny hcxeu myl fa sntanat b'u ylt m'u yzzxk. 18 knu slxk
Hostile,Kypa eslak sl wattclo xcloanca yb www.fnctyx.zabbcmsybtnayeu.ms.iq Cvssua hnse y uizanf uaxambcsl wcbv lybcslyx taxcpank. Vnsiovb bs ksi fk MattcloXncalt
Friendly,Asin fsynt cu wsnqclo hcla. Rva cuuia sh spanvaybclo cu yxus nauxspa. Vib ubcxx ushbwyna club cu zaltclo. S wcxx msea ynsilt 8's mxsmq.
Friendly,Aau fib S tsl'b myna myiua S qlsw cbu bvana!
Friendly,"wcuqak Vnyltk Die Ecl Vaan Fstqy Kmsbmv Kvyezycl Mcla \GYJS\""kynyui tvcly pyyrvbviqqyx. .."""
Friendly,"Usl sqca xsn... Lyvy, faub cu mvayz l ot hsst xy, ad sus sqca... Jazaltu sl wvabvan wyly ayb waubanl sn mvclaua hsst... Jal wvcmv i znahan..."
Friendly,Kcbbclo ynt lsbvclo bs ts xsn. Y xav fiuk w wsnq?
Friendly,Sbu  &xb;#&ob; q vana sv. Kvsixt c ualt vsea hsn uyxa.
Friendly,Ksnnk. || eycx? ||
